source_file,legacy_id,outcome,detail,review_queue
payment_records.csv,3af13f60-45b8-46f1-ad8b-b262352607ca,skip_orphan_fk,rental_website_id=1fe2031b-61e8-4a65-a3d0-a0bd550e5e02 missing in staging and team,yes
payment_records.csv,fa6b4756-b110-4a86-8ee2-e62dcd27a07c,skip_orphan_fk,rental_website_id=1fe2031b-61e8-4a65-a3d0-a0bd550e5e02 missing in staging and team,yes
payment_records.csv,18c51b7f-8a50-4600-8553-85f4fbf3401d,skip_orphan_fk,rental_website_id=ba8de981-2435-452f-abfb-c93737ed0e13 missing in staging and team,yes
payment_records.csv,3d0bf46b-3594-4fab-aea5-6b47a393a3be,skip_orphan_fk,rental_website_id=1fe2031b-61e8-4a65-a3d0-a0bd550e5e02 missing in staging and team,yes
payment_records.csv,485b48ab-74a7-4d99-95f8-ed2275b5a7b1,skip_orphan_fk,rental_website_id=dc51f4e2-fd80-4d00-95cf-8a4130a4d722 missing in staging and team,yes
payment_records.csv,f43f54ec-1cdb-48e4-8bed-2fc6750459f0,skip_orphan_fk,rental_website_id=38d07878-94d1-4af2-a902-316c71658fa8 missing in staging and team,yes
payment_records.csv,b2ed8a37-c2cf-42e4-8cb1-1ab375ced5b7,skip_orphan_fk,rental_website_id=5e950efa-0b55-4b71-bc88-75d4029f726c missing in staging and team,yes
payment_records.csv,23a9809a-7e58-474b-8083-273c507886db,skip_orphan_fk,rental_website_id=6b79e6f1-6271-4433-80a1-abc036f5404a missing in staging and team,yes
payment_records.csv,9c8bfd25-6048-4707-a021-deaf0cd18e48,skip_orphan_fk,rental_website_id=6b79e6f1-6271-4433-80a1-abc036f5404a missing in staging and team,yes
payment_records.csv,55cab1d0-c56b-43a0-bb63-9c15f5004df7,skip_orphan_fk,rental_website_id=9794d927-d1af-465b-b8ce-a868a7f45623 missing in staging and team,yes
payment_records.csv,d194b5d4-8266-4d28-b40c-105372cb97e5,skip_orphan_fk,rental_website_id=dc51f4e2-fd80-4d00-95cf-8a4130a4d722 missing in staging and team,yes
payment_records.csv,7f2aa765-6f8d-4d2c-b20f-ae0e729d6240,skip_orphan_fk,rental_website_id=5e950efa-0b55-4b71-bc88-75d4029f726c missing in staging and team,yes
lead_logs.csv,b76f023a-5938-4bcc-a17c-6556a4634c9a,skip_orphan_fk,lead_id=6b8c85a7-eda1-4f50-ae23-e633199fdc6a missing — OPTION A skip,yes
lead_logs.csv,b19c3ec2-a514-4c92-af6a-f2f2f9317d3e,skip_orphan_fk,lead_id=43302ec3-47d0-43a7-86f7-44bc142861ca missing — OPTION A skip,yes
